ROUND,MIN,HOME_TEAM,AWAY_TEAM,HOME_PTS,AWAY_PTS,HOME_WIN
20,200,MIL,ASV,73,79,L
20,200,EFS,BAY,81,89,L
20,200,VBC,PAR,89,81,W
20,200,ZAL,CZV,71,66,W
20,200,OLY,RMB,73,60,W
20,225,FBD,MCO,98,94,W
21,200,OLY,MTA,95,89,W
21,200,CZV,PAR,78,79,L
21,200,BAY,VIR,91,84,W
21,225,RMB,FCB,91,86,W
21,200,PAO,ZAL,89,65,W
21,200,ASV,FBD,91,77,W
21,200,MCO,MIL,101,88,W
21,200,BER,VBC,88,94,L
21,225,BSK,EFS,114,111,W
22,200,EFS,ZAL,80,70,W
22,200,VBC,BAY,82,73,W
22,200,PAR,ASV,92,71,W
22,200,VIR,CZV,84,72,W
22,200,MIL,BSK,89,83,W
22,200,BER,MCO,84,102,L
22,200,RMB,PAO,83,68,W
22,200,FCB,MTA,83,78,W
22,200,FBD,OLY,73,93,L
23,200,ASV,VIR,64,77,L
23,200,FCB,BAY,72,70,W
23,200,VBC,MTA,93,94,L
23,200,ZAL,PAR,74,88,L
23,200,FBD,BER,101,86,W
23,200,BSK,PAO,95,90,W
23,200,OLY,EFS,76,70,W
23,200,MIL,CZV,74,68,W
23,200,MCO,RMB,91,95,L
24,200,BAY,PAR,71,82,L
24,200,BER,OLY,60,93,L
24,200,MCO,ASV,87,75,W
24,200,FBD,MIL,75,82,L
24,200,PAO,VBC,91,92,L
24,200,ZAL,BSK,79,75,W
24,200,EFS,RMB,90,89,W
24,200,MTA,CZV,86,89,L
24,200,VIR,FCB,75,92,L
25,200,FCB,MCO,80,70,W
25,200,MIL,PAO,78,76,W
25,200,MTA,BAY,90,82,W
25,200,PAR,FBD,94,97,L
25,200,RMB,ZAL,96,69,W
25,200,ASV,EFS,89,90,L
25,200,CZV,BER,72,87,L
25,200,VIR,BSK,88,83,W
25,200,VBC,OLY,85,92,L
26,200,BAY,CZV,87,80,W
26,200,MCO,MTA,86,67,W
26,200,FCB,ZAL,93,74,W
26,200,FBD,VIR,104,72,W
26,200,PAO,EFS,82,87,L
26,200,PAR,BER,88,74,W
26,200,MIL,OLY,83,62,W
26,200,ASV,RMB,71,75,L
26,200,BSK,VBC,114,75,W
27,200,RMB,BSK,81,85,L
27,200,BER,ZAL,63,66,L
27,200,MTA,FBD,78,74,W
27,200,BAY,ASV,76,72,W
27,200,CZV,EFS,94,75,W
27,200,MCO,PAO,84,70,W
27,200,OLY,FCB,77,70,W
27,200,VBC,MIL,84,88,L
27,200,VIR,PAR,79,88,L
28,200,RMB,VBC,95,91,W
28,200,BER,VIR,74,96,L
28,200,FBD,FCB,81,73,W
28,200,OLY,BAY,102,74,W
28,200,BSK,MCO,93,102,L
28,200,PAO,CZV,75,66,W
28,200,ZAL,ASV,85,67,W
28,200,MIL,PAR,76,62,W
28,200,EFS,MTA,64,86,L
29,200,VBC,FBD,82,80,W
29,200,EFS,PAR,84,97,L
29,200,ZAL,OLY,72,74,L
29,200,MTA,BSK,93,79,W
29,200,RMB,MIL,91,87,W
29,200,MCO,VIR,81,68,W
29,200,ASV,PAO,82,86,L
29,200,BAY,BER,75,76,L
29,200,FCB,CZV,85,79,W
30,200,PAO,FCB,74,88,L
30,200,ASV,MTA,67,85,L
30,200,MIL,BAY,99,74,W
30,200,BER,EFS,95,93,W
30,200,CZV,BSK,74,63,W
30,200,VIR,RMB,79,96,L
30,200,MCO,VBC,90,79,W
30,200,FBD,ZAL,87,79,W
30,200,PAR,OLY,90,75,W
31,200,ZAL,MCO,79,70,W
31,200,RMB,FBD,90,75,W
31,200,OLY,ASV,81,55,W
31,200,CZV,VBC,92,73,W
31,200,EFS,MIL,89,69,W
31,200,PAR,FCB,80,89,L
31,200,PAO,BAY,86,76,W
31,200,MTA,VIR,111,80,W
31,200,BSK,BER,93,87,W
32,200,BAY,MCO,81,84,L
32,200,ASV,CZV,60,76,L
32,200,FCB,BER,72,56,W
32,200,MTA,MIL,85,66,W
32,200,ZAL,VBC,95,74,W
32,200,EFS,VIR,86,67,W
32,200,OLY,PAO,81,73,W
32,200,PAR,RMB,104,90,W
32,200,BSK,FBD,92,69,W
33,TBP,BSK,ASV,120,100,W
33,TBP,MCO,PAR,TBP,TBP,TBP
33,TBP,FBD,EFS,103,86,W
33,TBP,ZAL,MTA,68,67,W
33,TBP,PAO,BER,TBP,TBP,TBP
33,TBP,VBC,VIR,79,68,W
33,TBP,CZV,OLY,87,79,W
33,TBP,RMB,BAY,79,67,W
